orc 0.4.42-1
osinfo-db 20251212-1
osu-lazer-bin 2026.518.0-2
osu-mime 0.1-3
p11-kit 0.26.2-1
pacman 7.1.0.r9.g54d9411-2
pacman-contrib 1.13.1-1
pacman-mirrorlist 20260610-1
pahole 1:1.31-2
pam 1.7.2-2
pambase 20260616-1
pango 1:1.58.0-1
pangomm 2.46.5-1
pangomm-2.48 2.56.2-1
parted 3.7-1
pastel 0.12.0-1
patch 2.8-1
pavucontrol 1:6.2-1
pcaudiolib 1.3-1
pciutils 3.15.0-1
pcre 8.45-4
pcre2 10.47-1
pcsclite 2.5.1-1
perl 5.42.2-1
perl-error 0.17030-3
perl-image-exiftool 13.55-1
perl-mailtools 2.22-3
perl-timedate 2.35-1
phodav 3.0-4
phonon-qt6 4.12.0-6
phonon-qt6-vlc 0.12.0-6
picocom 3.1-3
pinentry 1.3.2-2
pipewire 1:1.6.7-1
pipewire-alsa 1:1.6.7-1
pipewire-audio 1:1.6.7-1
pipewire-jack 1:1.6.7-1
pipewire-pulse 1:1.6.7-1
pipewire-session-manager 1:1.6.7-1
pixman 0.46.4-1
pkgconf 2.5.1-1
playerctl 2.4.1-5
polkit 127-3
poppler 26.06.0-1
poppler-data 0.4.12-2
poppler-glib 26.06.0-1
poppler-qt6 26.06.0-1
popt 1.19-2
portaudio 1:19.7.0-4
portmidi 1:2.0.8-1
portsmf 234-3
pps-tools 1.0.3-2
procps-ng 4.0.6-2
protobuf 35.1-1
protobuf-c 1.5.2-12
protonplus 0.5.20-1
protonup-qt 2.15.0-1
psmisc 23.7-2
pugixml 1.16-1
purpose 6.27.0-1
pyside6 6.11.1-4
python 3.14.6-1
python-argcomplete 3.7.0-1
python-attrs 26.1.0-1
python-autocommand 2.2.2-9
python-build 1.4.3-1
python-cachetools 7.1.4-1
python-cairo 1.29.0-2
python-certifi 2026.06.17-1
python-cffi 2.0.0-2
python-charset-normalizer 3.4.7-1
python-click 8.3.3-1
python-contourpy 1.3.3-4
python-cryptography 49.0.0-1
python-cycler 0.12.1-4
python-dateutil 2.9.0-8
python-dbus 1.4.0-2
python-distro 1.9.0-4
python-docutils 1:0.23-1
python-dotenv 1.2.2-1
python-filelock 3.29.3-1
python-fonttools 4.63.0-1
python-gevent 26.5.0-1
python-gevent-eventemitter 2.1-4
python-gobject 3.56.3-1
python-greenlet 3.5.1-1
python-h11 0.16.0-2
python-idna 3.18-1
python-ifaddr 0.2.0-7
python-imageio 2.37.3-1
python-iniconfig 2.3.0-1
python-inputs 0.5-4
python-installer 1.0.0-1
python-jaraco.collections 5.1.0-3
python-jaraco.context 6.1.2-1
python-jaraco.functools 4.1.0-3
python-jaraco.text 4.0.0-4
python-kiwisolver 1.5.0-1
python-legacy-cgi 2.6.4-2
python-lxml 6.1.1-1
python-mako 1.3.12-1
python-markdown 3.10.2-1
python-markupsafe 3.0.3-1
python-matplotlib 3.11.0-1
python-more-itertools 11.1.0-1
python-mutagen 1.48.1-1
python-numpy 2.5.1-1
python-packaging 26.2-1
python-pandas 2.3.3-2
python-pillow 12.3.0-1
python-pip 26.1.2-1
python-pipx 1.15.0-1
python-pkg_resources 81.0.0-1
python-platformdirs 4.10.0-1
python-pluggy 1.6.0-3
python-pooch 1.9.0-1
python-protobuf 35.1-1
python-psutil 7.2.2-1
python-pyaml 26.7.0-1
python-pycparser 3.00-1
python-pycryptodomex 3.23.0-3
python-pygments 2.20.0-1
python-pyparsing 3.3.2-1
python-pyproject-hooks 1.2.0-6
python-pyserial 3.5-8
python-pytest 1:9.0.3-1
python-pytz 2026.1-1
python-pyusb 1.3.1-2
python-pyvisa 1.16.1-1
python-pyvisa-py 0.8.1-1
python-pyxdg 0.28-7
python-requests 2.34.2-1
python-scapy 2.7.0-1
python-scipy 1.18.0-1
python-setuptools 1:82.0.1-1
python-setuptools-scm 10.2.0-1
python-six 1.17.0-3
python-steam 2.0.0.alpha1-2
python-tqdm 4.68.3-1
python-typing_extensions 4.15.0-3
python-urllib3 2.7.0-1
python-userpath 1.9.2-4
